symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ADA-PERP,2025-10-17T12:01:00+00:00,2025-10-17T12:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 201.819685690654, ""funding_pressure_bps"": 1.2332, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-17T16:01:00+00:00,2025-10-17T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 52.62521171062184, ""funding_pressure_bps"": 2.241, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-17T16:01:00+00:00,2025-10-17T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 83.85744234800762, ""funding_pressure_bps"": 1.2332, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-17T20:01:00+00:00,2025-10-17T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.42761813972449, ""funding_pressure_bps"": 1.333, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-18T08:01:00+00:00,2025-10-18T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 0.5989458552924098, ""funding_pressure_bps"": 3.3691, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-18T08:01:00+00:00,2025-10-18T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 67.27960108371845, ""funding_pressure_bps"": 1.3988, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-18T08:01:00+00:00,2025-10-18T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.94576109431958, ""funding_pressure_bps"": 1.1934, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-18T20:01:00+00:00,2025-10-18T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 4.717722912406241, ""funding_pressure_bps"": 1.4731999999999998, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-18T20:01:00+00:00,2025-10-18T20:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -25.82345191040836, ""funding_pressure_bps"": -1.8717000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-19T04:01:00+00:00,2025-10-19T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 85.57749850389041, ""funding_pressure_bps"": 2.8951, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-19T04:01:00+00:00,2025-10-19T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 79.24625709860634, ""funding_pressure_bps"": 1.8221, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-19T08:01:00+00:00,2025-10-19T08:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -8.78054351377111, ""funding_pressure_bps"": -1.6578, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-19T12:01:00+00:00,2025-10-19T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 70.56609691077131, ""funding_pressure_bps"": 2.2026, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-19T16:01:00+00:00,2025-10-19T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 38.09084088416847, ""funding_pressure_bps"": 2.5084, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-19T16:01:00+00:00,2025-10-19T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 32.43633171824412, ""funding_pressure_bps"": 1.7359, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-19T16:01:00+00:00,2025-10-19T16:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -13.219442749643484, ""funding_pressure_bps"": -2.1185, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-20T04:01:00+00:00,2025-10-20T04:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 236.5199879985558, ""funding_pressure_bps"": 2.0421, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
