symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ADA-PERP,2025-10-17T12:01:00+00:00,2025-10-17T12:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 201.819685690654, ""funding_pressure_bps"": 1.2332, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-17T16:01:00+00:00,2025-10-17T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 83.85744234800762, ""funding_pressure_bps"": 1.2332, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-18T08:01:00+00:00,2025-10-18T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 67.27960108371845, ""funding_pressure_bps"": 1.3988, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-18T08:01:00+00:00,2025-10-18T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 42.94576109431958, ""funding_pressure_bps"": 1.1934, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-18T16:01:00+00:00,2025-10-18T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 34.688995215310655, ""funding_pressure_bps"": 3.0035000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-19T04:01:00+00:00,2025-10-19T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 85.57749850389041, ""funding_pressure_bps"": 2.8951, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-19T04:01:00+00:00,2025-10-19T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 79.24625709860634, ""funding_pressure_bps"": 1.8221, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-19T08:01:00+00:00,2025-10-19T08:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -69.9926323544886, ""funding_pressure_bps"": -2.1391, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-19T08:01:00+00:00,2025-10-19T08:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -8.78054351377111, ""funding_pressure_bps"": -1.6578, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-19T16:01:00+00:00,2025-10-19T16:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 130.50821434055004, ""funding_pressure_bps"": 2.2026, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-20T12:01:00+00:00,2025-10-20T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 54.52331798210919, ""funding_pressure_bps"": 2.0448, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-21T08:01:00+00:00,2025-10-21T08:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 169.56791166694796, ""funding_pressure_bps"": 1.77, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-21T12:01:00+00:00,2025-10-21T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 105.23369717324593, ""funding_pressure_bps"": 1.77, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-22T04:01:00+00:00,2025-10-22T04:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -13.29417705812741, ""funding_pressure_bps"": -1.0081, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-22T08:01:00+00:00,2025-10-22T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 40.97714736012614, ""funding_pressure_bps"": 1.7546, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-22T12:01:00+00:00,2025-10-22T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 18.370774721814254, ""funding_pressure_bps"": 1.9559, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-22T16:01:00+00:00,2025-10-22T16:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -27.972826397213435, ""funding_pressure_bps"": -2.2003999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-23T04:01:00+00:00,2025-10-23T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.64286275639704, ""funding_pressure_bps"": 1.0346, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-23T04:01:00+00:00,2025-10-23T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 25.878681186863872, ""funding_pressure_bps"": 1.034, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-23T08:01:00+00:00,2025-10-23T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 107.54388739522503, ""funding_pressure_bps"": 1.5777, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-23T08:01:00+00:00,2025-10-23T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 98.41699645907198, ""funding_pressure_bps"": 1.123, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-24T04:01:00+00:00,2025-10-24T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 29.525680895723383, ""funding_pressure_bps"": 1.3167, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-24T12:01:00+00:00,2025-10-24T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 7.695859627518953, ""funding_pressure_bps"": 2.8429, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-24T12:01:00+00:00,2025-10-24T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 41.9215952866514, ""funding_pressure_bps"": 2.4831000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-25T12:01:00+00:00,2025-10-25T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 52.291602583820485, ""funding_pressure_bps"": 3.7866, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-25T12:01:00+00:00,2025-10-25T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 41.317699609157984, ""funding_pressure_bps"": 2.8836000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-26T08:01:00+00:00,2025-10-26T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 38.807189542484636, ""funding_pressure_bps"": 3.6910000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-26T08:01:00+00:00,2025-10-26T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 33.690658499234694, ""funding_pressure_bps"": 3.3577999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-26T08:01:00+00:00,2025-10-26T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 35.98942810549399, ""funding_pressure_bps"": 3.2449, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-26T12:01:00+00:00,2025-10-26T12:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 136.97050232546414, ""funding_pressure_bps"": 2.132, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
